,ticker,month,mean_transactions,median_transactions,sd_transactions,mean_low,median_low,sd_low,mean_high,median_high,sd_high,mean_close,median_close,sd_close
400,FOSL,May,10849000,8204250,6492395.253,18.02250052,18.78500081,2.302036346,21.02750016,20.27499962,1.617596704,20.59750032,20.06000042,1.919458266
401,FOSL,June,8922775,7750950,2155757.555,26.50250006,27.13500023,1.381328518,30.6324997,30.78999997,1.322919554,28.94000006,28.9449997,1.510181833
402,FOSL,July,5946360,5433800,1562574.794,24.79999962,24.75,0.654002702,28.74599991,28.63999939,0.854672207,26.85400009,26.88999939,1.682505537
403,FOSL,August,12929350,12083900,5512934.359,22.54250002,22.80500031,1.315719806,27.44500017,26.88000012,1.251988391,24.32499981,24.03999997,1.493142478
404,FOSL,September,6818450,6801350,294937.9638,22.02749968,21.6949997,0.798353434,25.0449996,25.08499908,0.376862225,23.59000016,23.47500039,0.583395034
405,FOSL,October,7237960,6879900,852699.6601,19.52599983,19.25,0.98074655,22.65200005,22.25,1.036424883,21.11599999,21.15999985,1.597430378
406,FOSL,November,10376575,8267850,5404406.146,17.83999968,17.72999954,0.251992553,21.75250006,21.36999989,1.604701845,19.28000021,19.13500023,0.491578555
407,FOSL,December,5661620,7010000,2632659.965,15.31000023,15.52000046,1.189605061,17.91599999,17.15999985,1.902016064,16.12399978,15.88000011,0.79996504
408,TJX,January,35927920,35895600,5962727.135,38.16200028,38.04000092,0.7861656,39.72799988,39.45000076,0.69170494,39.3300003,39.23500061,0.5447937
409,TJX,February,52597450,52522000,19457436.8,37.55875016,37.58749962,0.823668824,40.1324997,39.5699997,1.327185012,39.39124965,38.95999909,1.480263916
410,TJX,March,40018000,38177400,9724090.463,40.30125046,40.30000114,0.343589992,41.68000031,41.66750145,0.402351847,40.68999958,40.74250031,0.496701798
411,TJX,April,34691800,33118400,5104120.854,40.67400055,40.84500122,0.467818091,42.78700027,42.60499954,0.604223322,41.65100098,41.41500092,0.875056132
412,TJX,May,38592900,36563500,9493172.737,42.16875077,42.11750031,1.113262836,44.05624962,44.19750023,1.273034964,43.42374992,43.22500039,1.282196877
413,TJX,June,33450850,33569300,3864182.466,46.64875031,46.88750076,0.645769609,48.09500027,48.09000015,0.239138262,47.54625034,47.5625,0.04813651
414,TJX,July,25242160,26305800,4425176.564,47.53500061,47.34500122,0.444488092,48.73299942,49.00999832,0.598169012,48.2090004,48.27500153,0.433201023
415,TJX,August,37362200,32814700,13049861.41,50.26249981,49.49749947,1.787144255,52.64500046,52.45249939,1.991127407,52.38499928,52.18999863,2.150078995
416,TJX,September,36081150,36313000,5123642.221,54.1987505,54.11750031,0.530877329,55.84625053,55.83500099,0.372362983,55.05374908,54.90999985,0.593510307
417,TJX,October,38121920,35635800,7076717.567,53.62099991,53.58000183,0.735230629,55.95200119,56.18500137,0.694913915,54.30300064,54.72000122,0.722036048
418,TJX,November,44419700,47204650,8943684.409,48.8550005,48.14999962,3.742816548,53.23250008,53.85000038,3.007851428,50.46000004,50.17000008,3.593236579
419,TJX,December,31785160,35695500,15879024.06,43.45800095,44.06000137,1.583759451,46.10400085,44.99000168,1.827419882,44.1980011,44.74000168,1.251006303
420,LB,January,22714180,17877800,8349223.377,48.42000046,48.59000015,1.22119681,53.91199951,52.84000015,3.891196807,50.09999924,50.36000061,1.550329705
421,LB,February,23636775,19931400,11624761.88,45.10249996,45.73999977,2.270201545,50.29499912,50.47499848,0.740962957,47.40749931,48.68000031,2.344743231
422,LB,March,23010675,23199350,3111972.568,38.90500069,39.0150013,1.795890803,42.04750061,41.88000107,2.512433198,39.63499927,39.38500023,1.890271374
423,LB,April,20041960,19861600,2565698.166,34.99400101,34.33000183,1.096094744,37.31199951,36.97999954,1.262352818,35.67199936,35.25999832,1.432584544
424,LB,May,27633875,27438200,7158171.092,32.375,32.60499954,1.049963952,35.47749996,35.39999962,0.813214329,34.0350008,34.15500069,1.164741649
425,LB,June,20508900,19525650,5742098.349,35.54000092,35.49500084,0.613555049,37.69749928,37.61499977,0.301030231,36.73750019,36.78499985,0.227528409
426,LB,July,20008500,19003100,7929362.58,31.84599953,31.30999947,1.777994401,34.58399963,33.18999863,2.297692042,32.67799988,31.70999908,2.085122789
427,LB,August,36248375,30006150,16410310.25,28.73499966,29.01999951,2.090185422,31.69500017,32.86000061,2.291173482,29.46000004,29.43000031,2.514109659
428,LB,September,26549325,28925100,5194513.248,27.75999975,27.78499985,1.377661241,29.34499979,29.75500012,1.380806006,29.18249989,29.63499928,1.330664774
429,LB,October,24514460,24161900,4455857.77,29.08200035,28.86000061,0.930127048,32.06199989,31.84000015,1.087573772,30.74999924,30.42000008,1.82164733
430,LB,November,31737550,28719900,6588207.651,31.63749933,31.84499932,2.613008517,36.17999935,36.3599987,1.51861766,33.71499968,34.1949997,2.479742961
431,LB,December,19091700,18848800,9312460.468,27.19599991,25.23999977,3.290797458,30.16199989,30.71999931,3.474129794,27.73799972,25.67000008,2.955898567
432,VIPS,January,61974100,54267000,21444045.04,14.11799984,15.06000042,1.594307491,15.82999992,16.46999931,1.879776844,15.22199993,15.64999962,1.744733709
433,VIPS,February,62480050,60401850,18145605.47,16.09999967,16.06499958,1.358104915,18.39249945,18.97499943,1.106240764,17.65000009,18.15499973,1.373153359
434,VIPS,March,49912400,50898300,8163515.718,16.68000031,16.59500027,0.60112402,18.47749949,18.39499951,0.362999872,17.44000006,17.48999977,0.64730169
435,VIPS,April,32460460,28662300,8217215.842,15.32799988,15.55000019,0.531954804,16.57999992,16.77000046,0.63074581,15.92600021,15.75,0.452575211
436,VIPS,May,63090825,43835850,39635981.87,12.45749998,11.75500012,1.368509525,14.01749992,13.9000001,1.749462222,12.73499989,12.00500012,1.373653762
437,VIPS,June,47476325,43783900,15929163.03,10.87249994,10.84999991,0.634246576,11.92750001,11.94000006,0.504746566,11.32249975,11.22999954,0.410083591
438,VIPS,July,25683620,24155300,4514619.183,9.750000001,9.81000042,0.451131827,10.52000007,10.32999992,0.480582981,10.07999992,10.02999973,0.498678052
439,VIPS,August,52476975,39989650,29563407.35,7.397500038,6.910000086,0.899343373,8.402499914,8.444999695,0.877791922,7.537500143,7.065000057,0.930225222
440,VIPS,September,43375350,48628400,11939607.93,5.939999938,5.88499999,0.188547137,6.747499943,6.769999981,0.191229699,6.320000053,6.259999991,0.135092653
441,VIPS,October,34355560,28140600,8199686.24,4.842000008,4.869999886,0.384260391,5.776000023,5.650000095,0.321160358,5.307999992,5.409999847,0.387628679
442,VIPS,November,36030725,33125450,5668320.199,5.117500067,5.110000134,0.088140359,5.980000138,6.005000115,0.127475479,5.49000001,5.529999972,0.326266824
443,VIPS,December,24333560,24162400,10511080.27,5.14800005,5.099999905,0.111606502,5.819999981,5.800000191,0.164924242,5.353999901,5.309999943,0.155640666
444,CRI,January,2832220,2894400,546523.011,117.2419998,117.6600037,1.163501809,122.0860001,120.9100037,3.5832197,119.4799988,120.3099976,1.35395749
445,CRI,February,3716500,3242250,1693947.743,114.5149994,115.3899994,3.811492887,123.0699997,122.875,0.614777903,118.9775009,119.0900002,1.964234136
446,CRI,March,4252325,4023500,1170345.8,107.3624993,106.5799981,3.805223652,112.9125004,113.165001,3.848488294,108.4274998,107.8849984,4.551777395
447,CRI,April,5411060,5238200,934961.2261,100.8639999,100.0500031,2.114601466,106.8519989,107.4100037,1.708184902,103.9340011,103.3899994,1.241332288
448,CRI,May,3984600,3855850,645119.861,106.8749981,106.6499977,3.309006042,111.0774994,111.9500007,3.062484895,109.5374985,109.9449997,2.546099858
449,CRI,June,3958225,4008500,382924.3618,107.5474968,107.8049965,0.920444686,113.6524983,113.0649987,1.373651475,109.6549988,108.9399987,1.774520724
450,CRI,July,3936600,3856400,1732812.831,106.5699997,106.9300003,3.631573663,113.5840012,113.5500031,3.880951868,110.0639999,109.7600021,4.681078737
451,CRI,August,2979875,3018700,275811.1435,105.5625,105.3800011,1.73063998,109.9675007,110.3250008,1.259073325,107.3950005,107.5400009,1.887930566
452,CRI,September,5309150,5414450,519887.8942,93.43249893,92.86999893,1.334602947,100.5049992,99.0399971,4.013959951,96.20499992,96.16500092,1.90082126
453,CRI,October,6068640,5860500,1579147.14,93.34000092,93.80000305,2.3881607,99.66399993,99.76000214,1.22729849,95.43800049,95.72000122,1.625280051
454,CRI,November,3812025,3958100,784609.1778,89.05250168,88.45500183,2.994207119,94.52499771,93.63499832,2.116063403,91.75250054,91.79999924,1.369769949
455,CRI,December,3095960,3836800,1389622.825,79.2300003,80.54000092,2.591238793,85.83200073,82.69999695,4.713411653,81.04000244,81.62000275,2.149520792
456,COLM,January,918040,924900,134131.9142,71.86000061,72.01000214,1.188326731,75.21399994,74.63999939,1.762540192,73.87600098,73.91000366,1.108126655
457,COLM,February,1541625,1522650,607199.3675,72.28250122,72.38000107,1.36867483,77.68499946,77.89500046,1.246485551,75.96499825,76.19999695,0.843016645
458,COLM,March,1054625,1052200,108825.1666,75.81750107,75.72000122,0.580275032,78.79499817,78.79999924,0.570372403,77.37750054,77.18000031,1.25553711
459,COLM,April,1404280,1523400,328579.0097,78.11999969,78.81999969,1.995394791,83.47399902,83.12999725,2.783354925,80.65,79.83999634,2.088206189
460,COLM,May,1162875,1135600,90809.61885,83.97749901,83.75999832,2.321039785,86.6324997,86.97000122,2.460175992,86.07250023,86.61999893,2.483196786
