company,ticker,AVG_Close_Price,AVG_Volume,mean_transactions,mean_low,mean_high,mean_close
Restaraunt Brands international,QSR,58.085282955529564,8017549.056603773,8018167.083333333,56.839500045833326,59.53795825666666,58.1093749525
Ferarri,RACE,123.5799993838904,2968052.8301886786,2939511.25,120.31447497250001,127.59353734166666,123.95024936666668
Ralph Lauren,RL,119.5954719399506,5146903.773584906,5155376.666666667,116.22433361333333,124.26533304999998,119.97679190833333
Canada Goose,GOOS,47.50339637612397,6263252.83018868,6349486.666666667,44.80584976666666,50.390729109166664,47.667541805000006
Marriot,MAR,128.92886741206328,10405484.905660378,10408724.166666666,126.25645860833333,132.53299989999996,129.23399949166665
McDonalds,MCD,166.35132095049013,19217313.20754717,19261347.083333332,162.62887581666666,169.38779150833332,166.14770847500003
YUM Brands,YUM,84.84226413942733,10062326.41509434,10113772.916666666,83.02841618916666,86.25954131916667,84.77929169500001
Tiffany and Co.,TIF,111.7041509376382,8520188.679245284,8599447.083333334,109.00366667166666,115.80916633000002,112.16770840833334
PVH,PVH,139.84132169327646,4916200.0,4956869.166666667,136.91262436250003,145.23762524166668,140.34366763333335
Movado,MOV,39.549245222559506,901430.1886792452,909662.5,38.089541555,41.34641665666667,39.713208264166674
Estee Lauder,EL,140.07415094915427,9600437.735849056,9608727.083333334,136.9381243,143.9437091416667,140.46229167500002
Prada,PRDSY,8.63716980196395,145247.16981132075,149145.41666666666,8.336666629416667,9.056958291916667,8.674916654916668
Porsche,POAHY,7.25773583718066,507432.07547169813,501915.8333333333,7.0652499854999995,7.467500013249999,7.251249988916668
VFCorp,VFC,76.86991392891362,12284284.905660378,12279550.0,75.26898921416667,79.0437068,76.98783696416668
Nordstrom,JWN,52.9507548494159,11499328.301886793,11645419.166666666,51.12645821583333,55.039166674166665,53.05550015833334
Birks Group,BGI,1.2807547180157788,265811.320754717,281722.9166666667,1.2112500005833333,1.46183333075,1.284041669166667
Macy's,M,32.57358479049971,43194335.8490566,43844355.0,31.2491248275,34.0628334775,32.67816653333333
Nike,NKE,73.15773593254809,35118296.2264151,35089020.833333336,71.19695817750001,74.832291825,73.2752917925
Gap,GPS,29.819999982725896,24289983.018867925,24567021.666666668,28.84000000916667,31.01162484499999,29.879124984166666
Hanes,HBI,18.363396212739765,30244118.86792453,30194373.75,17.839833370833336,19.18858318083333,18.385666661666665
Under Armour,UA,17.489622511953677,16738503.773584904,16718287.5,16.695583368333335,18.424212504166665,17.571541531666664
Hugo Boss,BOSS,18.850679325607587,7694.339622641509,7624.166666666667,18.603141745833334,19.26685841,18.89881676
Adidas,ADS,220.85471675081072,2780596.2264150945,2757072.0833333335,215.8908756333333,228.21316451666667,221.45679130833332
Lulu Lemon,LULU,114.73490617860037,9983986.79245283,10057894.583333334,110.87320840083333,119.00195837166666,115.0405422225
Foot Locker,FL,48.85396230445718,15503467.924528304,15827909.166666666,46.81687491833333,50.76745832833333,48.8981250925
Skechers,SKX,31.372264142306342,14073447.16981132,13744901.25,30.325333110833327,32.81554148166666,31.4469166775
Urban Outfitters ,URBN,39.59169787280965,11384758.490566038,11489156.25,38.30108348666667,41.36487503083333,39.740833092500004
American Eagle,AEO,21.674339726286117,21114652.83018868,21146701.666666668,20.902833256666668,22.63695832,21.7665001025
Dicks Sporting Goods,DKS,34.145660004525816,14550692.452830188,14828665.833333334,32.828916979999995,35.69174981166666,34.23783294583333
Steve Madden,SHOO,32.794151018250666,3331018.867924528,3295523.75,31.96620818833333,33.940888794166675,32.902638961666675
Ambercrombie and Fitch,ANF,22.38981128188799,13384760.37735849,13554072.916666666,21.206458308333335,23.793083315833332,22.4386249575
JCPenny's,JCP,2.4252830203974023,73422200.0,74459895.83333333,2.2792916626666666,2.6324166770833335,2.427874998833333
Vera Bradley,VRA,12.027169767415748,1821647.169811321,1830554.1666666667,11.600874979833334,12.711041653083335,12.096749949000001
Fossil ,FOSL,18.96301891218941,10110552.83018868,10393454.583333334,17.55554159791667,20.663666620083333,19.112750050416665
TJX,TJX,46.3066982773115,36961015.09433962,37357600.833333336,45.286979567500005,47.41595854833334,46.386750109166655
L Brands,LB,35.57320724343354,24323696.22641509,24641356.25,34.2994167975,37.56412472583333,35.592541385000004
VipShop Holdings,VIPS,10.819433959025258,43649190.56603774,44470829.166666664,10.312583310166666,11.539249898249999,10.865416662416669
Carter's,CRI,104.10528319736696,4127796.226415095,4113098.3333333335,101.79945790250001,107.81066635583333,104.32550014083334
Columiba Sportswear,COLM,84.98490574674786,1422681.1320754718,1417044.5833333333,83.00470851166668,87.19583307999999,85.14341672416667
Deckers Outdoors,DECK,108.59264143457952,3253673.58490566,3274048.3333333335,104.92524970166669,112.41624971083333,108.8605832175
Wolverine,WWW,33.46811330543374,3237960.3773584906,3284427.5,32.608874990833336,34.553625085,33.53058341416667
Dillard's,DDS,75.38471711356685,2741607.547169811,2806867.5,72.05291627166667,79.4454164825,75.760250125
Oxford Industries,OXM,82.81113189121463,692250.9433962264,690093.75,80.31258357250002,85.7579585075,83.04049981583334
Guess,GES,20.854528283173185,5592271.698113208,5724530.833333333,19.84020825916667,21.924333306666668,20.862624985
Caleres,CAL,33.05754715541624,1821620.754716981,1853927.5,31.972916667499998,34.55458354916667,33.13683332749999
Chico's,CHS,8.537924559611195,15005792.452830188,15072475.833333334,8.1429166975,9.081583347916668,8.566000026500001
Buckle,BKE,22.45264150511544,2543939.622641509,2551803.75,21.597999939166666,23.774541680833337,22.564708327499996
