company,ticker,AVG_Close_Price,AVG_Volume
Restaraunt Brands international,QSR,58.08528295552956,8017549.0566037735
Ferarri,RACE,123.57999938389041,2968052.830188679
Ralph Lauren,RL,119.59547193995061,5146903.773584906
Canada Goose,GOOS,47.503396376123966,6263252.8301886795
Marriot,MAR,128.9288674120633,10405484.905660378
McDonalds,MCD,166.35132095049013,19217313.20754717
YUM Brands,YUM,84.84226413942733,10062326.41509434
Tiffany and Co.,TIF,111.70415093763819,8520188.679245284
PVH,PVH,139.84132169327646,4916200.0
Movado,MOV,39.54924522255951,901430.1886792453
Estee Lauder,EL,140.07415094915427,9600437.735849056
Prada,PRDSY,8.63716980196395,145247.16981132075
Porsche,POAHY,7.257735837180659,507432.07547169813
VFCorp,VFC,76.86991392891362,12284284.905660378
Nordstrom,JWN,52.95075484941591,11499328.301886793
Birks Group,BGI,1.2807547180157788,265811.320754717
Macy's,M,32.57358479049971,43194335.8490566
Nike,NKE,73.15773593254809,35118296.2264151
Gap,GPS,29.8199999827259,24289983.018867925
Hanes,HBI,18.363396212739765,30244118.86792453
Under Armour,UA,17.489622511953677,16738503.773584906
Hugo Boss,BOSS,18.850679325607587,7694.33962264151
Adidas,ADS,220.85471675081072,2780596.2264150945
Lulu Lemon,LULU,114.73490617860038,9983986.79245283
Foot Locker,FL,48.85396230445718,15503467.924528303
Skechers,SKX,31.372264142306346,14073447.169811321
Urban Outfitters ,URBN,39.59169787280965,11384758.490566038
American Eagle,AEO,21.674339726286114,21114652.83018868
Dicks Sporting Goods,DKS,34.145660004525816,14550692.452830188
Steve Madden,SHOO,32.794151018250666,3331018.867924528
Ambercrombie and Fitch,ANF,22.38981128188799,13384760.37735849
JCPenny's,JCP,2.4252830203974023,73422200.0
Vera Bradley,VRA,12.027169767415748,1821647.1698113207
Fossil ,FOSL,18.963018912189412,10110552.830188679
TJX,TJX,46.306698277311504,36961015.094339624
L Brands,LB,35.57320724343354,24323696.226415094
VipShop Holdings,VIPS,10.819433959025258,43649190.56603774
Carter's,CRI,104.10528319736697,4127796.2264150945
Columiba Sportswear,COLM,84.98490574674786,1422681.1320754718
Deckers Outdoors,DECK,108.59264143457952,3253673.5849056602
Wolverine,WWW,33.46811330543374,3237960.3773584906
Dillard's,DDS,75.38471711356685,2741607.547169811
Oxford Industries,OXM,82.81113189121463,692250.9433962264
Guess,GES,20.854528283173185,5592271.698113208
Caleres,CAL,33.05754715541624,1821620.7547169812
Chico's,CHS,8.537924559611195,15005792.452830188
Buckle,BKE,22.452641505115437,2543939.6226415094
Genesco,GCO,41.73603756022903,1594454.716981132
Express,EXPR,8.396981095368007,10907141.509433962
Fransesca's,FRAN,59.35924506637285,481115.09433962265
Zumiez,ZUMZ,23.27113198334316,2219309.433962264
Signet Jewlers ,SIG,50.90283015988908,9849409.433962265
Swatch,SWGAY,20.571509415248656,183852.83018867925
Ford Motor Company,F,10.309433919078899,209622354.71698114
General Motors,GM,37.62660375631081,59502669.81132075
Chipotle,CMG,414.40169913813753,4281675.471698113
Audi,AUDVF,905.8545244324882,90.56603773584905
Toyota,TM,127.27396234476342,955733.962264151
Apple,AAPL,187.87320781203937,161113890.56603774
Honda,HMC,31.200377374325157,3297488.679245283
Amazon,AMZN,1634.6490616708431,26752784.905660376
