adjclose,close,date,high,low,open,ticker,volume
60.14845275878906,63.5099983215332,January 01,64.77999877929688,61.40999984741211,61.45000076293945,QSR,6769300
57.97965621948242,61.220001220703125,January 08,63.5,59.90999984741211,63.5,QSR,9334600
58.32060623168945,61.58000183105469,January 15,62.88999938964844,61.31999969482422,61.68000030517578,QSR,5783800
58.38690185546875,61.650001525878906,January 22,62.45000076293945,60.25,61.470001220703125,QSR,7430500
55.91504669189453,59.040000915527344,January 29,61.59000015258789,58.9900016784668,61.400001525878906,QSR,7633200
53.518951416015625,56.5099983215332,February 05,59.56999969482422,55.040000915527344,58.52000045776367,QSR,13063700
55.8961067199707,59.02000045776367,February 12,61.16999816894531,57.060001373291016,60.209999084472656,QSR,16541600
56.31281280517578,59.459999084472656,February 19,61.2599983215332,58.25,58.619998931884766,QSR,8774100
54.45656204223633,57.5,February 26,59.68000030517578,56.869998931884766,59.68000030517578,QSR,10254000
56.189701080322266,59.33000183105469,March 05,59.849998474121094,57.02000045776367,57.060001373291016,QSR,6821000
54.636505126953125,57.689998626708984,March 12,59.77000045776367,57.20000076293945,59.43000030517578,QSR,6670900
53.94169235229492,56.5099983215332,March 19,59.060001373291016,56.4900016784668,58.0099983215332,QSR,6156600
54.33306121826172,56.91999816894531,March 26,58.40999984741211,55.119998931884766,58.25,QSR,5733100
53.416690826416016,55.959999084472656,April 02,58.150001525878906,55.77000045776367,56.72999954223633,QSR,7901400
52.56714630126953,55.06999969482422,April 09,56.959999084472656,54.959999084472656,56.220001220703125,QSR,8545300
52.175777435302734,54.65999984741211,April 16,55.56999969482422,53.56999969482422,55.540000915527344,QSR,10102100
51.708045959472656,54.16999816894531,April 23,57.65999984741211,53.09000015258789,53.970001220703125,QSR,18235000
52.01350784301758,54.4900016784668,April 30,54.84000015258789,53.54999923706055,54.38999938964844,QSR,8666800
54.32352066040039,56.90999984741211,May 07,57.11800003051758,54.20500183105469,54.70000076293945,QSR,7893500
53.26396560668945,55.79999923706055,May 14,57.4900016784668,55.5,56.79999923706055,QSR,8229700
56.1516227722168,58.36000061035156,May 21,58.630001068115234,55.88999938964844,55.97999954223633,QSR,7942300
56.95021438598633,59.189998626708984,May 28,59.72999954223633,57.060001373291016,57.540000915527344,QSR,7486800
56.91172790527344,59.150001525878906,June 04,61.459999084472656,59.119998931884766,59.47999954223633,QSR,8309600
57.469783782958984,59.72999954223633,June 11,60.810001373291016,59.01499938964844,59.380001068115234,QSR,6928400
58.4511833190918,60.75,June 18,61.439998626708984,59.43000030517578,59.47999954223633,QSR,9497000
58.01820755004883,60.29999923706055,June 25,60.619998931884766,57.59000015258789,60.40999984741211,QSR,7267000
58.58588790893555,60.88999938964844,July 02,61.29999923706055,59.529998779296875,59.83000183105469,QSR,5313800
61.077877044677734,63.47999954223633,July 09,64.38999938964844,60.900001525878906,61.220001220703125,QSR,7433800
62.63657760620117,65.0999984741211,July 16,65.16999816894531,62.939998626708984,63.45000076293945,QSR,5424400
61.43387222290039,63.849998474121094,July 23,65.13999938964844,63.439998626708984,64.81999969482422,QSR,6260800
61.049015045166016,63.45000076293945,July 30,64.52999877929688,61.709999084472656,64.04000091552734,QSR,11556400
59.73085403442383,62.08000183105469,August 06,63.7400016784668,61.90999984741211,63.349998474121094,QSR,7907900
59.220909118652344,61.54999923706055,August 13,62.959999084472656,60.72999954223633,62.15999984741211,QSR,7451000
56.757781982421875,58.9900016784668,August 20,61.81999969482422,58.29999923706055,61.75,QSR,9377800
55.22795104980469,57.400001525878906,August 27,59.400001525878906,57.04999923706055,59.0,QSR,6457600
54.37162399291992,56.5099983215332,September 03,57.525001525878906,55.47999954223633,57.34000015258789,QSR,7304000
56.538761138916016,58.290000915527344,September 10,59.31999969482422,56.25,56.599998474121094,QSR,9223500
57.22743225097656,59.0,September 17,61.36000061035156,57.939998626708984,58.45000076293945,QSR,8498000
57.499019622802734,59.279998779296875,September 24,59.630001068115234,58.40999984741211,58.900001525878906,QSR,5346300
57.16923522949219,58.939998626708984,October 01,59.720001220703125,57.220001220703125,59.560001373291016,QSR,6499000
56.005287170410156,57.7400016784668,October 08,59.45000076293945,56.060001373291016,58.63999938964844,QSR,8390300
55.66579818725586,57.38999938964844,October 15,58.029998779296875,56.869998931884766,57.65999984741211,QSR,7121500
53.74528884887695,55.40999984741211,October 22,58.15999984741211,54.189998626708984,57.27000045776367,QSR,12964600
53.16331100463867,54.810001373291016,October 29,56.04999923706055,52.599998474121094,55.86000061035156,QSR,10305000
55.10322952270508,56.810001373291016,November 05,57.150001525878906,54.72999954223633,54.83000183105469,QSR,6223800
53.80348587036133,55.470001220703125,November 12,56.78499984741211,54.08000183105469,56.54999923706055,QSR,6975100
53.667694091796875,55.33000183105469,November 19,55.7599983215332,52.060001373291016,55.2599983215332,QSR,5203700
56.57756042480469,58.33000183105469,November 26,58.91999816894531,55.720001220703125,55.869998931884766,QSR,7101700
53.02751541137695,54.66999816894531,December 03,59.33000183105469,54.630001068115234,59.33000183105469,QSR,6279500
51.67927932739258,53.279998779296875,December 10,54.95000076293945,52.599998474121094,54.54999923706055,QSR,7246700
50.544307708740234,51.68000030517578,December 17,53.880001068115234,51.08000183105469,52.939998626708984,QSR,8780900
50.86705017089844,52.0099983215332,December 24,52.959999084472656,50.20000076293945,51.470001220703125,QSR,5079100
51.15067672729492,52.29999923706055,December 31,52.779998779296875,51.68000030517578,52.15999984741211,QSR,1232600
110.40899658203125,112.12999725341797,January 01,113.0199966430664,103.6500015258789,104.12000274658203,RACE,2264200
