adjclose,close,date,high,low,open,ticker,volume,Increase_This_Week,Delta_Price,log_volume,num_mentions,unique_songs,artist_mentions,industry,industry_mentions,consecutive_weeks
60.14845275878906,63.5099983215332,January 01,64.77999877929689,61.40999984741211,61.45000076293945,QSR,6769300,1,3.352314943885463,15.727908242201373,0,0,[],foodservice,16,0
57.97965621948242,61.22000122070313,January 08,63.5,59.90999984741211,63.5,QSR,9334600,0,-3.5905492587352246,16.04923848454873,0,0,[],foodservice,16,0
58.32060623168945,61.58000183105469,January 15,62.88999938964844,61.31999969482422,61.68000030517578,QSR,5783800,0,-0.16212463298691412,15.570571464076288,0,0,[],foodservice,16,0
58.38690185546875,61.6500015258789,January 22,62.45000076293945,60.25,61.47000122070313,QSR,7430500,1,0.2928262593154835,15.821103709180761,0,0,[],foodservice,16,0
55.91504669189453,59.040000915527344,January 29,61.59000015258789,58.9900016784668,61.4000015258789,QSR,7633200,0,-3.843649107006718,15.848017712454896,0,0,[],foodservice,16,0
53.51895141601562,56.5099983215332,February 05,59.56999969482422,55.040000915527344,58.52000045776367,QSR,13063700,0,-3.4347267951256617,16.385347949498588,0,0,[],foodservice,16,0
55.8961067199707,59.02000045776367,February 12,61.16999816894531,57.06000137329102,60.209999084472656,QSR,16541600,0,-1.9764136269782289,16.621388978068698,0,0,[],foodservice,16,0
56.31281280517578,59.459999084472656,February 19,61.2599983215332,58.25,58.61999893188477,QSR,8774100,1,1.432958321210388,15.987314757953582,0,0,[],foodservice,16,0
54.45656204223633,57.5,February 26,59.68000030517578,56.86999893188477,59.68000030517578,QSR,10254000,0,-3.6528155060795457,16.143178431325783,0,0,[],foodservice,16,0
56.18970108032226,59.33000183105469,March 05,59.849998474121094,57.02000045776367,57.06000137329102,QSR,6821000,1,3.978269195812217,15.735516646636857,0,0,[],foodservice,16,0
54.63650512695313,57.68999862670898,March 12,59.77000045776367,57.20000076293945,59.43000030517578,QSR,6670900,0,-2.9278170444755434,15.713265341322964,0,0,[],foodservice,16,0
53.94169235229492,56.5099983215332,March 19,59.06000137329102,56.4900016784668,58.0099983215332,QSR,6156600,0,-2.585761150493264,15.633035235078356,0,0,[],foodservice,16,0
54.33306121826172,56.91999816894531,March 26,58.40999984741211,55.11999893188477,58.25,QSR,5733100,0,-2.2832649460166308,15.561766954612981,0,0,[],foodservice,16,0
53.41669082641602,55.959999084472656,April 02,58.1500015258789,55.77000045776367,56.72999954223633,QSR,7901400,0,-1.3573073576184238,15.882550516926367,0,0,[],foodservice,16,0
52.56714630126953,55.06999969482422,April 09,56.959999084472656,54.959999084472656,56.22000122070313,QSR,8545300,0,-2.045538066362444,15.960891982165988,0,0,[],foodservice,16,0
52.17577743530274,54.65999984741211,April 16,55.56999969482422,53.56999969482422,55.540000915527344,QSR,10102100,0,-1.5844455412481133,16.128253880991036,0,0,[],foodservice,16,0
51.708045959472656,54.16999816894531,April 23,57.65999984741211,53.09000015258789,53.97000122070313,QSR,18235000,1,0.3705705831362121,16.718853382224918,0,0,[],foodservice,16,0
52.01350784301758,54.4900016784668,April 30,54.84000015258789,53.54999923706055,54.38999938964844,QSR,8666800,1,0.18386153693796864,15.97501019181469,0,0,[],foodservice,16,0
54.32352066040039,56.90999984741211,May 07,57.11800003051758,54.20500183105469,54.70000076293945,QSR,7893500,1,4.040217648351447,15.881550193953919,0,0,[],foodservice,16,0
53.26396560668945,55.79999923706055,May 14,57.4900016784668,55.5,56.79999923706055,QSR,8229700,0,-1.7605634039296354,15.923260119984002,0,0,[],foodservice,16,0
56.1516227722168,58.36000061035156,May 21,58.63000106811523,55.88999938964844,55.97999954223633,QSR,7942300,1,4.251520342224277,15.887713463820408,0,0,[],foodservice,16,0
56.95021438598633,59.18999862670898,May 28,59.72999954223633,57.06000137329102,57.540000915527344,QSR,7486800,1,2.867566362405769,15.828652027886879,0,0,[],foodservice,16,0
56.91172790527344,59.1500015258789,June 04,61.459999084472656,59.11999893188477,59.47999954223633,QSR,8309600,0,-0.5548050082332292,15.932922030895739,0,0,[],foodservice,16,0
57.46978378295898,59.72999954223633,June 11,60.81000137329102,59.01499938964844,59.38000106811523,QSR,6928400,1,0.5894214682138774,15.751139464278262,0,0,[],foodservice,16,0
58.4511833190918,60.75,June 18,61.43999862670898,59.43000030517578,59.47999954223633,QSR,9497000,1,2.1351722722557414,16.06648651722509,0,0,[],foodservice,16,0
58.01820755004883,60.29999923706055,June 25,60.61999893188477,57.59000015258789,60.40999984741211,QSR,7267000,0,-0.1820900689114549,15.798854109598773,0,0,[],foodservice,16,0
58.58588790893555,60.88999938964844,July 02,61.29999923706055,59.52999877929688,59.83000183105469,QSR,5313800,1,1.7716823101341768,15.485817768161562,0,0,[],foodservice,16,0
61.07787704467773,63.47999954223633,July 09,64.38999938964844,60.9000015258789,61.22000122070313,QSR,7433800,1,3.691601235657798,15.821547726060697,0,0,[],foodservice,16,0
62.63657760620117,65.09999847412111,July 16,65.16999816894531,62.93999862670898,63.45000076293945,QSR,5424400,1,2.600469174691331,15.506417852195927,0,0,[],foodservice,16,0
61.43387222290039,63.849998474121094,July 23,65.13999938964844,63.43999862670898,64.81999969482422,QSR,6260800,0,-1.4964536026996897,15.649818530438285,0,0,[],foodservice,16,0
61.04901504516602,63.45000076293945,July 30,64.52999877929689,61.709999084472656,64.04000091552734,QSR,11556400,0,-0.921299413106094,16.262749954022517,0,0,[],foodservice,16,0
